,model,design_ix,enzyme,fold-change,nra_sol
0,"3191,8",0,EU_HEX1,0.1718394864075071,0.44879889795852834
1,"3191,8",0,ED_PRPPS,0.6931471805599453,0.44879889795852834
2,"3191,8",0,ED_PYK,0.6301511982289204,0.44879889795852834
3,"3191,8",1,EU_HEX1,0.20516639258367245,0.43048073843939755
4,"3191,8",1,ED_PYK,0.6931471805599453,0.43048073843939755
5,"3191,8",1,EU_PRFGS,0.060275109124273,0.43048073843939755
6,"3191,8",2,ED_PYK,0.6931471805599453,0.43008422943606917
7,"3191,8",2,ED_ALDD2y,0.6872846603554792,0.43008422943606917
8,"3191,8",2,ED_PDHm,0.47580754061306324,0.43008422943606917
9,"3191,8",3,ED_PRPPS,0.6931471805599453,0.4246005737111332
10,"3191,8",3,ED_PDHm,0.39993764304895,0.4246005737111332
11,"3191,8",3,ED_PFK,0.5409737060004337,0.4246005737111332
12,"3191,8",4,ED_PYK,0.6931471805599453,0.2959343726050402
13,"3191,8",4,EU_AKGDbm,0.08194071159081202,0.2959343726050402
14,"3191,8",4,EU_TAL,0.6931471805599453,0.2959343726050402
15,"3191,8",5,ED_PYK,0.6931471805599453,0.2762584536213946
16,"3191,8",5,EU_TAL,0.6931471805599453,0.2762584536213946
17,"3191,8",5,EU_SUCOASm,0.0810036047450966,0.2762584536213946
18,"3191,8",6,ED_PYK,0.6931471805599453,0.2959343726050483
19,"3191,8",6,EU_TAL,0.6931471805599453,0.2959343726050483
20,"3191,8",6,EU_GCC2cm,0.06897584944260614,0.2959343726050483
21,"3191,8",7,ED_PYK,0.6756017215556063,0.27985629853067573
22,"3191,8",7,EU_PPND2,0.6882783047791289,0.27985629853067573
23,"3191,8",7,ED_MDH,0.6931471805599453,0.27985629853067573
24,"3191,8",8,ED_PYK,0.6931471805599453,0.259342504112984
25,"3191,8",8,EU_SUCOASm,0.07570285051100661,0.259342504112984
26,"3191,8",8,EU_PPND2,0.6669390382577473,0.259342504112984
27,"3191,8",9,ED_PYK,0.6931471805599453,0.2754487628665011
28,"3191,8",9,EU_TAL,0.6931471805599453,0.2754487628665011
29,"3191,8",9,ED_NADH2_u6m,0.44970857896464034,0.2754487628665011
30,"3191,8",10,ED_PYK,0.6931471805599453,0.278279180748478
31,"3191,8",10,EU_AKGDbm,0.08295365411181489,0.278279180748478
32,"3191,8",10,EU_PPND2,0.6931471805599453,0.278279180748478
33,"3191,8",11,ED_PYK,0.6931471805599453,0.27827918074848623
34,"3191,8",11,EU_GCC2cm,0.06982852169143418,0.27827918074848623
35,"3191,8",11,EU_PPND2,0.6931471805599453,0.27827918074848623
36,"3191,8",12,ED_PYK,0.6931471805599453,0.2782791807484205
37,"3191,8",12,EU_PPND2,0.6931471805599453,0.2782791807484205
38,"3191,8",12,EU_AKGDam,0.12868951948783436,0.2782791807484205
39,"3191,8",13,EU_DHQTi,0.6931471805599453,0.17743214936850948
40,"3191,8",13,EU_DHQS,0.6931471805599453,0.17743214936850948
41,"3191,8",13,EU_CHORM,0.4251264581486147,0.17743214936850948
42,"3191,8",14,ED_PRPPS,0.3144472990154865,0.014267027810172302
43,"3191,8",14,EU_ICDHxm,0.001,0.014267027810172302
44,"3191,8",14,EU_PDHm,0.001,0.014267027810172302
45,"3191,8",15,ED_PYK,0.362527587512148,0.14822099014351975
46,"3191,8",15,EU_DHQTi,0.6931471805599453,0.14822099014351975
47,"3191,8",15,EU_ICDHxm,0.4840207090906547,0.14822099014351975
48,"3191,8",16,EU_TAL,0.6931471805599453,0.11715500383420001
49,"3191,8",16,ED_CSm,0.5105550996366935,0.11715500383420001
50,"3191,8",16,ED_SUCD2_u6m,0.23338416840825554,0.11715500383420001
51,"3191,8",17,EU_TAL,0.550329815298887,0.14511259855466235
52,"3191,8",17,ED_PGM,0.6931471805599453,0.14511259855466235
53,"3191,8",17,ED_PYRDC,0.001,0.14511259855466235
54,"3191,8",18,EU_HEX1,0.20611941115440124,0.27740362419794967
55,"3191,8",18,EU_TAL,0.6931471805599453,0.27740362419794967
56,"3191,8",18,EU_ASPTA,0.15429611305886298,0.27740362419794967
57,"3191,8",19,EU_TAL,0.6931471805599453,0.22658382598194426
58,"3191,8",19,EU_ASPTA,0.24860833668129287,0.22658382598194426
59,"3191,8",19,EU_r_4235,0.6931471805599453,0.22658382598194426
60,"3191,8",20,EU_TAL,0.6931471805599453,0.16096566946472357
61,"3191,8",20,EU_ASPTA,0.5370458957869075,0.16096566946472357
62,"3191,8",20,EU_PGI,0.46727566401750936,0.16096566946472357
63,"3191,8",21,EU_DHQS,0.6931471805599453,0.20742368211114764
64,"3191,8",21,EU_CHORM,0.5114499908248373,0.20742368211114764
65,"3191,8",21,ED_PGK,0.1993383196921818,0.20742368211114764
66,"3191,8",22,EU_DHQS,0.6931471805599453,0.15967244148992626
67,"3191,8",22,EU_CHORM,0.6931471805599453,0.15967244148992626
68,"3191,8",22,ED_PPA,0.007868384608459435,0.15967244148992626
69,"3191,8",23,EU_DHQS,0.6931471805599453,0.15377785004534236
70,"3191,8",23,EU_CHORM,0.5684946629191576,0.15377785004534236
71,"3191,8",23,ED_ICDHym,0.001,0.15377785004534236
72,"3191,8",24,EU_DHQS,0.6931471805599453,0.16046787742624208
73,"3191,8",24,EU_CHORM,0.6931471805599453,0.16046787742624208
74,"3191,8",24,EU_ICDHxm,0.015896545101253743,0.16046787742624208
75,"3191,8",25,EU_DHQS,0.6931471805599453,0.1608351458340981
76,"3191,8",25,EU_CHORM,0.6931471805599453,0.1608351458340981
77,"3191,8",25,EU_ME1m,0.0414162199173174,0.1608351458340981
78,"3191,8",26,EU_DHQS,0.6931471805599453,0.15886792290619134
79,"3191,8",26,EU_CHORM,0.6931471805599453,0.15886792290619134
80,"3191,8",26,ED_CPR,0.03164620191404854,0.15886792290619134
81,"3191,8",27,EU_DHQTi,0.6931471805599453,0.1657986356691848
82,"3191,8",27,EU_DHQS,0.6931471805599453,0.1657986356691848
83,"3191,8",27,ED_PYRDC,0.25840941009971097,0.1657986356691848
84,"3191,8",28,ED_PYK,0.14957649975845683,0.18446630781106446
85,"3191,8",28,EU_DHQS,0.6931471805599453,0.18446630781106446
86,"3191,8",28,ED_PYRDC,0.1480873002886076,0.18446630781106446
87,"3191,8",29,ED_PYK,0.28334733810563795,0.10734394997650439
88,"3191,8",29,EU_PGL,0.001,0.10734394997650439
89,"3191,8",29,EU_GLUDy,0.001,0.10734394997650439
90,"3191,8",30,ED_PYK,0.310104299942973,0.11631982636784607
91,"3191,8",30,EU_GLUDy,0.001,0.11631982636784607
92,"3191,8",30,EU_GND,0.6931471805599453,0.11631982636784607
93,"3191,8",31,ED_PYK,0.2835805386432605,0.10734713202537609
94,"3191,8",31,EU_GLUDy,0.001,0.10734713202537609
95,"3191,8",31,EU_G6PDH2r,0.001,0.10734713202537609
96,"3191,8",32,EU_ASPTA,0.24985432613157846,0.04586783238328994
97,"3191,8",32,EU_GLUDy,0.001,0.04586783238328994
98,"3191,8",32,ED_ICDHyr,0.0009999999999999686,0.04586783238328994
99,"3191,8",33,ED_PYK,0.39651494440900437,0.17705325593812898
100,"3191,8",33,EU_GLUDy,0.001,0.17705325593812898
101,"3191,8",33,ED_MDHm,0.6931471805599453,0.17705325593812898
102,"3191,8",34,EU_PPND2,0.6931471805599453,0.1448670817368294
103,"3191,8",34,ED_PYRDC,0.3461653151506322,0.1448670817368294
104,"3191,8",34,ED_PGK,0.38151820043777307,0.1448670817368294
105,"3191,8",35,EU_PPND2,0.6931471805599453,0.10877092214802128
106,"3191,8",35,EU_ASPTA,0.48483652441501035,0.10877092214802128
107,"3191,8",35,ED_GLNS,0.016865034166407805,0.10877092214802128
108,"3191,8",36,EU_PGL,0.5303536557715074,0.12098880363508728
109,"3191,8",36,EU_PGCD,0.6931471805599453,0.12098880363508728
110,"3191,8",36,EU_FBA3,0.6931471805599453,0.12098880363508728
111,"3191,8",37,EU_HEX1,0.12683202822376088,0.15012128366727268
112,"3191,8",37,ED_PGK,0.07342561695080183,0.15012128366727268
113,"3191,8",37,EU_FBA3,0.6931471805599453,0.15012128366727268
114,"3191,8",38,EU_GLUDy,0.32508714206024497,0.016843422691060372
115,"3191,8",38,ED_ICDHyr,0.29929310876690174,0.016843422691060372
116,"3191,8",38,EU_FBA3,0.001,0.016843422691060372
117,"3191,42",0,EU_HEX1,0.12427130348602868,0.09467355332437599
118,"3191,42",0,ED_PRPPS,0.001,0.09467355332437599
119,"3191,42",0,ED_PYK,0.06510733684271831,0.09467355332437599
120,"3191,42",1,EU_HEX1,0.11023062837924924,0.12609315860466397
121,"3191,42",1,ED_PYK,0.22346113655067748,0.12609315860466397
122,"3191,42",1,EU_PRFGS,0.010517143037257709,0.12609315860466397
123,"3191,42",2,ED_PYK,0.3260806998469963,0.10687948508796656
124,"3191,42",2,ED_ALDD2y,0.21345628228650124,0.10687948508796656
125,"3191,42",2,ED_PDHm,0.2966539790407794,0.10687948508796656
126,"3191,42",3,ED_PRPPS,0.14284535543685484,0.056303800660920646
127,"3191,42",3,ED_PDHm,0.20849064997349967,0.056303800660920646
128,"3191,42",3,ED_PFK,0.6931471805599453,0.056303800660920646
129,"3191,42",4,ED_PYK,0.6931471805599453,0.26391144712786435
130,"3191,42",4,EU_AKGDbm,0.3353722101082852,0.26391144712786435
131,"3191,42",4,EU_TAL,0.6931471805599453,0.26391144712786435
132,"3191,42",5,ED_PYK,0.6862635665496026,0.26348463621389295
133,"3191,42",5,EU_TAL,0.6931471805599453,0.26348463621389295
134,"3191,42",5,EU_SUCOASm,0.14084041731683763,0.26348463621389295
135,"3191,42",6,ED_PYK,0.670387277393072,0.2561761485650603
136,"3191,42",6,EU_TAL,0.6931471805599453,0.2561761485650603
137,"3191,42",6,EU_GCC2cm,0.6931471805599453,0.2561761485650603
138,"3191,42",7,ED_PYK,0.6588955928205352,0.2533674941711538
139,"3191,42",7,EU_PPND2,0.6931471805599453,0.2533674941711538
140,"3191,42",7,ED_MDH,0.6931471805599453,0.2533674941711538
141,"3191,42",8,ED_PYK,0.6931471805599453,0.253142564951558
142,"3191,42",8,EU_SUCOASm,0.13300388037115152,0.253142564951558
143,"3191,42",8,EU_PPND2,0.6931471805599453,0.253142564951558
144,"3191,42",9,ED_PYK,0.6883696055703703,0.25206307283617313
145,"3191,42",9,EU_TAL,0.6931471805599453,0.25206307283617313
146,"3191,42",9,ED_NADH2_u6m,0.1972834182625797,0.25206307283617313
147,"3191,42",10,ED_PYK,0.6931471805599453,0.25162375413206745
148,"3191,42",10,EU_AKGDbm,0.31633960707774533,0.25162375413206745
149,"3191,42",10,EU_PPND2,0.6931471805599453,0.25162375413206745
150,"3191,42",11,ED_PYK,0.6931471805599453,0.25073989834752786
151,"3191,42",11,EU_GCC2cm,0.6931471805599453,0.25073989834752786
152,"3191,42",11,EU_PPND2,0.6931471805599453,0.25073989834752786
153,"3191,42",12,ED_PYK,0.6931471805599453,0.2502999624783845
154,"3191,42",12,EU_PPND2,0.6931471805599453,0.2502999624783845
155,"3191,42",12,EU_AKGDam,0.6931471805599453,0.2502999624783845
156,"3191,42",13,EU_DHQTi,0.40402793328863573,0.06826223381072857
157,"3191,42",13,EU_DHQS,0.001,0.06826223381072857
158,"3191,42",13,EU_CHORM,0.4192698294259474,0.06826223381072857
159,"3191,42",14,ED_PRPPS,0.16184270391318722,0.020444846474590953
160,"3191,42",14,EU_ICDHxm,0.0952005694646827,0.020444846474590953
161,"3191,42",14,EU_PDHm,0.001,0.020444846474590953
162,"3191,42",15,ED_PYK,0.1413001485679836,0.1390685911997841
163,"3191,42",15,EU_DHQTi,0.6931471805599453,0.1390685911997841
