Time,mean,low,high
0,0,0,0
8,0,0,0
12,0.120061452,0.120061452,0.120061452
16,0.26395893,0.195010606,0.343362783
20,0.280399983,0.203093358,0.320094255
24,0.28847508,0.269668905,0.313549981
28,0.290289107,0.273572506,0.315371662
32,0.292103134,0.256572703,0.340163361
36,0.298096311,0.273013756,0.339887812
40,0.297813108,0.237207777,0.360492707
44,0.322620115,0.293350756,0.345597787
48,0.316060533,0.247104555,0.36412076
52,0.32205371,0.273993483,0.361755637
60,0.300599208,0.248367485,0.329845605
