,EU_DHQTi,EU_DHQS,EU_CHORM,EU_ICDHxm,EU_PDHm,ED_PRPPS,ED_PYK,solution
0,0.2971538787587809,0.6931471805599454,0.37927298697439943,,,,,0.19926117450142822
1,,,,0.6147640535371011,0.21601451441253444,0.3637284201561615,,0.1919697044149949
2,0.244503746321565,,,0.6498677781089031,,,0.6841245065119979,0.1867119032837042
