,reaction,EC,met,KM_min,KM_max,ratio,KM_model_max,KM_model_min,label
74,NADH2_u6cm,1.6.5.9,nadh,0.0094,0.0094,1.0,0.29397769471579044,0.0013783418676708249,NADH2_u6cm_nadh
75,NADH2_u6cm,1.6.5.9,q6,0.0027,0.0756,28.0,0.0007593251595158531,7.924015506647806e-07,NADH2_u6cm_q6
76,NADH2_u6m,1.6.5.9,nadh,0.0094,0.0094,1.0,29.57960381256099,0.2420438578633791,NADH2_u6m_nadh
77,NADH2_u6m,1.6.5.9,q6,0.0027,0.0756,28.0,0.0005198781027433241,1.8888345394607928e-06,NADH2_u6m_q6
78,GCC2cm,1.8.1.4,dhlam,0.48,0.48,1.0,1.600346036922564,0.11924426360900568,GCC2cm_dhlam
79,GCC2cm,1.8.1.4,nad,0.15,0.15,1.0,1674.0738701800926,4.83867979717166,GCC2cm_nad
80,AKGDbm,1.8.1.4,dhlam,0.48,0.48,1.0,17.916330097469288,0.19896585193330196,AKGDbm_dhlam
85,PDHm,1.8.1.4,nad,0.15,0.15,1.0,523.0895469693969,5.193524571335446,PDHm_nad
87,TKT1,2.2.1.1,g3p,4.9,4.9,1.0,7.086162711157834,0.0017744243531341453,TKT1_g3p
88,TKT1,2.2.1.1,r5p,0.006999999999999999,7.0,1000.0000000000001,25.26730546744774,0.036968655814045785,TKT1_r5p
90,TKT2,2.2.1.1,f6p,1.8,1.8,1.0,0.9442928616833335,0.04583446772647457,TKT2_f6p
91,TKT2,2.2.1.1,g3p,4.9,4.9,1.0,3.565329906071049,0.0071709898868167485,TKT2_g3p
94,TALA,2.2.1.2,e4p,0.018000000000000002,0.018000000000000002,1.0,0.7376176284938134,0.020820181997758612,TALA_e4p
95,TALA,2.2.1.2,f6p,0.32,0.32,1.0,1.5709704913049332,0.03436191792523573,TALA_f6p
96,TALA,2.2.1.2,g3p,0.22,0.22,1.0,25.42035213622568,0.0075093133238771995,TALA_g3p
97,TALA,2.2.1.2,s7p,0.18,0.18,1.0,23.837350641056837,0.03172080647423087,TALA_s7p
98,IPPS,2.3.3.13,3mob,0.016,0.016,1.0,0.0022823859352987044,2.9944755527192234e-05,IPPS_3mob
99,IPPS,2.3.3.13,accoa,0.009000000000000001,0.009000000000000001,1.0,14.964510359247464,0.01586642820530302,IPPS_accoa
101,IPPSm,2.3.3.13,3mob,0.016,0.016,1.0,12.697544044633075,0.04021249806460773,IPPSm_3mob
102,IPPSm,2.3.3.13,accoa,0.009000000000000001,0.009000000000000001,1.0,1.903272520642548,0.00014797065788321967,IPPSm_accoa
104,MALS,2.3.3.9,accoa,0.083,0.083,1.0,6.152605768872644,0.024372962496302157,MALS_accoa
105,MALS,2.3.3.9,glx,0.09300000000000001,0.1,1.075268817204301,0.00016982891776900385,1.521400180135717e-05,MALS_glx
