,count,mean,std,min,25%,50%,75%,max,CV
vmax_forward_2DDA7Ptm,9.0,32.87036579163675,27.202326697231356,6.661936165760737,15.188858166537074,27.000931285235396,39.312256278480284,98.64396089419695,0.8275638570518276
vmax_forward_2OBUTtm,9.0,15984.70123421514,23992.013426615977,638.9235217891917,893.6957348705484,1592.6814869988782,25742.91490044654,61220.71890872253,1.500935993427343
vmax_forward_2OXOADPTm,9.0,1231720.6502638885,3578543.32430089,1727.7356270025075,4427.058252959931,17108.002555267834,60388.53990704507,10773252.86571963,2.905320555869717
vmax_forward_2PGt6,9.0,0.09769475580112996,0.15243104553916212,0.005900053282486379,0.008625201488400389,0.024732015741668327,0.13656501672543428,0.47567360265342723,1.5602786893643994
vmax_forward_3C3HMPtm,9.0,12.983462692402663,11.926941942987048,2.3411355230507542,4.294714418877649,8.272434044248522,16.60690802572901,36.511764129540616,0.9186256567722998
vmax_forward_3MOPtm,9.0,5.940862440668039,8.474275000150564,1.0977800621082991,1.779046794445119,2.9506942989137523,4.75802096214719,28.028503983240746,1.4264385154148844
vmax_forward_3PGt6,9.0,9.080863162869725e-09,1.2208286947519443e-08,1.535313504309166e-09,1.9929041780322747e-09,3.2717080007572527e-09,1.0277317299462629e-08,3.708778035286788e-08,1.3443971931475942
vmax_forward_6PGCt6,9.0,3.2523060989629295e-08,6.740320927177718e-08,2.602989639656303e-10,4.289881441504113e-10,7.748302531198852e-10,1.1643522442437594e-09,1.9054242002127088e-07,2.072474337310077
vmax_forward_6PHOPHO,9.0,2.7369661945248,4.877827020937694,0.11755230759232649,0.2377569404948912,0.8325197884878384,1.414208602261024,14.969611421384112,1.7822021443653953
vmax_forward_AATA,9.0,18.095577331578667,28.563557536264756,0.31351589697861504,1.5415232114928548,3.5711950291093255,15.863458545218716,70.55933748142743,1.5784827979165037
vmax_forward_ABTA,9.0,33.766163627391535,59.40884335870137,0.82006131991309,1.812721546121664,4.703681110446415,15.183733838926104,162.36058001181544,1.7594194002693326
vmax_forward_ACACT1r,9.0,29666.929215226082,61420.97208003072,66.41509476978615,87.78738666554193,5275.42652323921,5829.433728987388,183446.52216092413,2.0703515228838505
vmax_forward_ACALDt,9.0,0.03604014646040152,0.06360845140748239,0.0058052388945793705,0.006449806904539882,0.007420627836982616,0.02092216735439499,0.19865497391766232,1.7649332107285154
vmax_forward_ACALDtm,9.0,432149.29367954703,1081480.039998964,16054.948833713841,38959.13400617536,55440.18420027548,117281.36204934152,3312678.998665523,2.502561165357167
vmax_forward_ACCOAC,9.0,279365.082465951,747831.6154486481,1120.5788569903384,6965.6355822796195,15174.73181973498,30694.55332381632,2270020.5637288447,2.6768972301318072
vmax_forward_ACN_a_m,9.0,9274.717783156802,15994.493345431682,536.2793211363436,838.3012884012312,1092.3832920528519,6729.67578034447,46509.709860314215,1.7245261494078252
vmax_forward_ACN_b_m,9.0,34.567736663694106,61.285259985594784,6.366211247432769,8.206056319032106,13.618139690673985,24.388160661777945,196.91621072955212,1.7729034614511407
