Time,mean
0,0.044559708
4,0.211429003
8,0.845193198
12,1.192931398
16,1.285921813
20,1.319945064
24,1.305989097
28,1.308161738
32,1.326427558
36,1.361522521
40,1.298583627
44,1.349427053
48,1.351553712
52,1.321042537
60,1.341657893
