Time,mean
0,10.29213058
4,9.172286179
8,8.119801758
12,6.676351325
16,5.556462424
20,4.652336833
24,3.478515448
28,2.924928756
32,2.937666523
36,2.977337158
40,2.949603312
44,2.881408979
48,2.813214645
52,2.596717105
60,2.231126504
