Time,mean
0,10.2381981
4,9.064398961
8,7.796217977
12,6.35273417
16,5.07108119
20,3.91075405
24,3.6403129
28,3.288995274
32,3.032037245
36,2.977337158
40,2.774333863
44,2.746577768
48,2.651417192
52,2.542795745
60,2.48729468
