Time,mean
0,0.042767229
4,0.182903587
8,0.447064691
12,0.820491477
16,0.854775079
20,0.890491195
24,0.940444852
28,0.902725178
32,0.890491195
36,0.902725178
40,0.927699681
44,0.927699681
48,0.915127237
52,0.921392015
60,0.921392015
