Time,mean ,low,high
0,0,0,0
4,0,0,0
8,0,0,0
12,0.148997208,0.148997208,0.148997208
16,0.1908747,0.1908747,0.1908747
20,0.236234329,0.201398831,0.272229754
24,0.397705611,0.376805725,0.419765424
28,0.403588856,0.371076745,0.43377758
32,0.41411652,0.392055529,0.435015228
36,0.419998587,0.38168213,0.460636076
40,0.423558445,0.394532003,0.452587241
44,0.43989281,0.394608547,0.484014791
48,0.452743861,0.412102839,0.482930229
52,0.452820404,0.407537319,0.49694003
60,0.44, 0.44,0.44
